"","gene1","gene2","pValue","oddsRatio","00","01","11","10","pAdj","Event","pair","event_ratio"
"1","KRAS","EGFR",3.90804006664089e-60,0.0300425824957612,466,883,10,176,9.0463890431505e-59,"Mutually_Exclusive","EGFR, KRAS","10/1059"
"2","EGFR","STK11",7.18328015471451e-33,0.0139892215653931,553,89,2,891,1.54812072299884e-31,"Mutually_Exclusive","EGFR, STK11","2/980"
"3","KEAP1","STK11",1.65393419184562e-23,20.5069556978914,1407,59,32,37,3.33454474162426e-22,"Co_Occurence","KEAP1, STK11","32/96"
"4","KEAP1","EGFR",4.1679019106206e-21,0.040002999438671,577,889,4,65,7.89375361859962e-20,"Mutually_Exclusive","EGFR, KEAP1","4/954"
"5","ERBB2","EGFR",1.63610620273191e-20,0.0770737400949277,567,884,9,75,2.92161821916418e-19,"Mutually_Exclusive","EGFR, ERBB2","9/959"
"6","STK11","KRAS",7.21193211770278e-20,9.01635086549639,1303,141,45,46,1.21823177663898e-18,"Co_Occurence","KRAS, STK11","45/187"
"7","LRP1B","EGFR",1.1176582316771e-16,0.301676736491113,484,813,80,158,1.79111896102099e-15,"Mutually_Exclusive","EGFR, LRP1B","80/971"
"8","LRP1B","SPTA1",6.4746527193594e-15,4.63469464760224,1211,86,59,179,9.8698974380479e-14,"Co_Occurence","LRP1B, SPTA1","59/265"
"9","KRAS","LRP1B",7.83701293640658e-15,4.11261720345718,1180,169,69,117,1.13910071750097e-13,"Co_Occurence","KRAS, LRP1B","69/286"
"10","TP53","RB1",3.51006722653456e-13,7.77357721822255,766,10,70,689,4.87509337018693e-12,"Co_Occurence","RB1, TP53","70/699"
"11","SMARCA4","LRP1B",7.65357523507486e-13,5.27092063478281,1245,195,43,52,1.01776266423868e-11,"Co_Occurence","LRP1B, SMARCA4","43/247"
"12","FAT4","LRP1B",1.87798808027992e-12,5.06783875915192,1243,195,43,54,2.39539295954073e-11,"Co_Occurence","FAT4, LRP1B","43/249"
"13","FAT3","SPTA1",4.52929621512312e-12,4.73731654681416,1280,103,42,110,5.55060810676858e-11,"Co_Occurence","FAT3, SPTA1","42/213"
"14","LRP1B","FAT3",7.6508715895746e-12,3.84490337038359,1201,96,56,182,9.02225423298895e-11,"Co_Occurence","FAT3, LRP1B","56/278"
"15","SPTA1","FAT4",1.62844971134553e-11,5.76097053290976,1325,65,32,113,1.85051103561993e-10,"Co_Occurence","FAT4, SPTA1","32/178"
"16","SPTA1","EGFR",2.17357892049261e-11,0.29811863727645,543,847,46,99,2.3833102198384e-10,"Mutually_Exclusive","EGFR, SPTA1","46/946"
"17","SPTA1","KRAS",2.51925022261197e-11,4.14308147599154,1250,140,46,99,2.66869726971608e-10,"Co_Occurence","KRAS, SPTA1","46/239"
"18","SPTA1","NF1",1.80696842997344e-10,6.3685530024121,1344,46,26,119,1.85140207989082e-09,"Co_Occurence","NF1, SPTA1","26/165"
"19","PRKDC","SPTA1",2.58838535281107e-10,6.22898689533575,1343,119,26,47,2.56784261191575e-09,"Co_Occurence","PRKDC, SPTA1","26/166"
"20","FAT3","FAT4",3.42632967700943e-10,5.10320313090431,1317,66,31,121,3.29454776635526e-09,"Co_Occurence","FAT3, FAT4","31/187"
"21","PRKDC","LRP1B",5.38082899517002e-10,5.05063754234839,1257,205,33,40,4.9150078651137e-09,"Co_Occurence","LRP1B, PRKDC","33/245"
"22","SMARCA4","EGFR",5.42616868308553e-10,0.249261558530958,573,867,26,69,4.9150078651137e-09,"Mutually_Exclusive","EGFR, SMARCA4","26/936"
