"Characteristic","Subgroup","Mutated_Total","p_value"
"All cases","All","91/1572 (5.8%)",""
"Sex","Male","80/782 (10.2%)","p < 0.001"
"","Female","11/790 (1.4%)",""
"Age (years)","< 65","53/1088 (4.9%)","p = 0.026"
"",">= 65","38/484 (7.9%)",""
"AJCC Stage (Individual)","0","0/2 (0%)","p < 0.001"
"","I","20/612 (3.3%)",""
"","I-II","0/0 (0%)",""
"","II","6/152 (3.9%)",""
"","III","15/272 (5.5%)",""
"","III-IV","0/1 (0%)",""
"","IV","50/532 (9.4%)",""
"","Unknown","0/0 (0%)",""
"Sample Type","Primary","63/1299 (4.8%)","p = 0.003"
"","Metastasis","28/267 (10.5%)",""
"","Recurrent","0/6 (0%)",""
