"","gene1","gene2","pValue","oddsRatio","00","01","11","10","pAdj","Event","pair","event_ratio"
"1","EGFR","KRAS",3.64126380984999e-321,0.0318176701126273,2243,1917,52,1913,8.42875991805167e-320,"Mutually_Exclusive","EGFR, KRAS","52/3830"
"2","KEAP1","STK11",5.67144672241962e-214,13.5954545465016,4804,461,487,373,1.22229455224569e-212,"Co_Occurence","KEAP1, STK11","487/834"
"3","EGFR","STK11",2.94873631384573e-123,0.0605871561824074,3245,915,33,1932,5.9450328908182e-122,"Mutually_Exclusive","EGFR, STK11","33/2847"
"4","KEAP1","EGFR",1.43033724286402e-103,0.0755669699784469,3336,1929,36,824,2.70897205087882e-102,"Mutually_Exclusive","EGFR, KEAP1","36/2753"
"5","KRAS","TP53",4.46860849081553e-54,0.422738614723474,1776,2380,712,1257,7.97965801931345e-53,"Mutually_Exclusive","KRAS, TP53","712/3637"
"6","STK11","KRAS",2.20744395008212e-47,2.84586031200651,3710,1467,502,446,3.72879045621979e-46,"Co_Occurence","KRAS, STK11","502/1913"
"7","SMARCA4","KEAP1",1.26415597487439e-39,4.22842099861072,4959,682,178,306,2.02589098537563e-38,"Co_Occurence","KEAP1, SMARCA4","178/988"
"8","STK11","SMARCA4",6.33134706718233e-33,3.64075722636187,4870,307,177,771,9.65144369997322e-32,"Co_Occurence","SMARCA4, STK11","177/1078"
"9","NF1","EGFR",3.16290485109257e-31,0.212109164647737,3746,1920,45,414,4.59724542309967e-30,"Mutually_Exclusive","EGFR, NF1","45/2334"
"10","RB1","TP53",2.00559766386836e-30,4.65794645896604,2978,2847,245,55,2.78555231092832e-29,"Co_Occurence","RB1, TP53","245/2902"
"11","ATM","KRAS",3.1365709237873e-30,3.01575717808391,3948,1699,270,208,4.17097197312141e-29,"Co_Occurence","ATM, KRAS","270/1907"
"12","STK11","TP53",4.97835063090988e-29,0.444580963330049,2406,2771,321,627,6.34993702922189e-28,"Mutually_Exclusive","STK11, TP53","321/3398"
"13","EPHA3","PTPRT",1.28823842080632e-25,4.95936107146829,5431,338,84,272,1.57872355490972e-24,"Co_Occurence","EPHA3, PTPRT","84/610"
"14","PTPRD","PTPRT",4.50952022657668e-25,4.02100120967592,5264,316,106,439,5.31783045586877e-24,"Co_Occurence","PTPRD, PTPRT","106/755"
"15","NTRK3","PTPRD",7.02030756232867e-24,4.51913583801869,5355,458,87,225,7.97762222991901e-23,"Co_Occurence","NTRK3, PTPRD","87/683"
"16","PTPRT","EGFR",2.09350439203568e-23,0.265914083968729,3788,1915,50,372,2.29550920179351e-22,"Mutually_Exclusive","EGFR, PTPRT","50/2287"
"17","EGFR","ATM",5.67607244806367e-22,0.310428736508913,3747,413,65,1900,6.01278861023698e-21,"Mutually_Exclusive","ATM, EGFR","65/2313"
"18","EGFR","TP53",4.00728379119609e-21,1.68213321516071,2232,1928,1164,801,4.1058235565534e-20,"Co_Occurence","EGFR, TP53","1164/2729"
"19","PTPRD","EGFR",9.2259855582959e-21,0.353059728561436,3698,1882,83,462,9.15276345069045e-20,"Mutually_Exclusive","EGFR, PTPRD","83/2344"
"20","SETD2","BRAF",1.08335438036158e-20,4.82256403506241,5505,274,67,279,1.04168690419384e-19,"Co_Occurence","BRAF, SETD2","67/553"
"21","BRAF","EGFR",3.16260498745414e-20,0.251063021857944,3857,1927,38,303,2.95019121964008e-19,"Mutually_Exclusive","BRAF, EGFR","38/2230"
"22","KEAP1","KRAS",1.38107997738254e-18,1.94773580200983,3687,1578,391,469,1.25097824038273e-17,"Co_Occurence","KEAP1, KRAS","391/2047"
"23","EPHA3","PTPRD",5.81980837260446e-18,3.55447149794134,5308,461,84,272,5.12307075053218e-17,"Co_Occurence","EPHA3, PTPRD","84/733"
"24","EGFR","EPHA5",1.90415902634878e-17,0.284420772607088,3870,290,41,1924,1.63027313899725e-16,"Mutually_Exclusive","EGFR, EPHA5","41/2214"
"25","PTPRD","EPHA5",3.19650105951255e-17,3.58291532980188,5328,252,79,466,2.66375088292715e-16,"Co_Occurence","EPHA5, PTPRD","79/718"
"26","FAT1","NF1",4.54629240052191e-17,3.47484566665195,5337,378,81,329,3.69017240302106e-16,"Co_Occurence","FAT1, NF1","81/707"
"27","EGFR","SMARCA4",5.95875041426548e-17,0.376126512317262,3753,407,77,1888,4.7142012771088e-16,"Mutually_Exclusive","EGFR, SMARCA4","77/2295"
"28","NTRK3","PTPRT",3.38850707460144e-16,3.93099882853637,5455,358,64,248,2.61458879213075e-15,"Co_Occurence","NTRK3, PTPRT","64/606"
