"","gene1","gene2","pValue","oddsRatio","00","01","11","10","pAdj","Event","pair","event_ratio"
"1","EGFR","KRAS",2.37796972293713e-10,0,128,33,0,141,5.50455954383597e-09,"Mutually_Exclusive","EGFR, KRAS","0/174"
"2","ZFHX4","ANK2",1.895185114932e-08,12.8603763505198,251,12,15,24,4.08445067873278e-07,"Co_Occurence","ANK2, ZFHX4","15/36"
"3","XIRP2","ZFHX4",1.31055513071194e-07,10.1894768274228,248,24,15,15,2.64224824740312e-06,"Co_Occurence","XIRP2, ZFHX4","15/39"
"4","CTNND2","RYR2",1.98840171740523e-07,10.2571157170668,244,32,15,11,3.76591234357051e-06,"Co_Occurence","CTNND2, RYR2","15/43"
"5","CSMD1","RYR2",2.24849974134508e-07,11.4326960627882,246,33,14,9,4.0151781095448e-06,"Co_Occurence","CSMD1, RYR2","14/42"
"6","RYR2","ANK2",3.99165971610943e-07,9.37185714797705,243,12,15,32,6.74266843937405e-06,"Co_Occurence","ANK2, RYR2","15/44"
"7","ZFHX4","RYR2",7.70602049473125e-07,6.84799543504572,234,29,18,21,1.23493918184796e-05,"Co_Occurence","RYR2, ZFHX4","18/50"
"8","FAT3","ZFHX4",1.24048223460323e-06,9.48633503677967,250,26,13,13,1.89097901616347e-05,"Co_Occurence","FAT3, ZFHX4","13/39"
"9","KRAS","RYR2",1.7617585721206e-06,7.15117837598199,238,31,16,17,2.45299788736127e-05,"Co_Occurence","KRAS, RYR2","16/48"
"10","ANK2","TTN",1.76615847890012e-06,7.57712313721087,225,50,17,10,2.45299788736127e-05,"Co_Occurence","ANK2, TTN","17/60"
"11","RYR2","XIRP2",2.52460809670219e-06,7.42001828024062,240,15,15,32,3.25292257090274e-05,"Co_Occurence","RYR2, XIRP2","15/47"
"12","MUC16","ANK2",2.55029129558775e-06,8.08401463852297,243,13,14,32,3.25292257090274e-05,"Co_Occurence","ANK2, MUC16","14/45"
"13","CTNND2","PCLO",2.75560053726799e-06,10.3499439389002,258,18,11,15,3.37696144273039e-05,"Co_Occurence","CTNND2, PCLO","11/33"
"14","ANK2","PCLO",4.37531562329219e-06,9.67322082463615,257,18,11,16,5.1595703104861e-05,"Co_Occurence","ANK2, PCLO","11/34"
"15","FAT3","TP53",5.46497005263695e-06,7.43561695050291,191,85,20,6,6.2101932416329e-05,"Co_Occurence","FAT3, TP53","20/91"
"16","CSMD3","CTNND2",7.92663140629288e-06,8.14141610863357,250,14,12,26,8.39685530327639e-05,"Co_Occurence","CSMD3, CTNND2","12/40"
"17","CSMD3","MUC17",7.92663140629288e-06,8.14141610863357,250,14,12,26,8.39685530327639e-05,"Co_Occurence","CSMD3, MUC17","12/40"
"18","MUC17","ZFHX4",1.08982532603772e-05,7.813354420036,249,27,12,14,0.000111662430946488,"Co_Occurence","MUC17, ZFHX4","12/41"
"19","KRAS","USH2A",1.19285789214965e-05,6.1149350145488,237,32,15,18,0.000114962333070303,"Co_Occurence","KRAS, USH2A","15/50"
"20","FAT3","ANK2",1.23239621051365e-05,9.38395624718786,259,17,10,16,0.000114962333070303,"Co_Occurence","ANK2, FAT3","10/33"
"21","CTNND2","SPTA1",1.23239621051365e-05,9.38395624718786,259,17,10,16,0.000114962333070303,"Co_Occurence","CTNND2, SPTA1","10/33"
"22","CSMD3","MUC16",1.36042454741753e-05,5.62426487454833,234,30,16,22,0.000123226861179124,"Co_Occurence","CSMD3, MUC16","16/52"
"23","RYR2","FAT3",1.47699669657707e-05,7.04557286604688,242,13,13,34,0.000127123861305923,"Co_Occurence","FAT3, RYR2","13/47"
"24","NEB","CTNND2",1.49938223547056e-05,10.5363691986822,263,17,9,13,0.000127123861305923,"Co_Occurence","CTNND2, NEB","9/30"
"25","XIRP2","PCLO",1.52548633567108e-05,8.06695234185627,254,18,11,19,0.000127123861305923,"Co_Occurence","PCLO, XIRP2","11/37"
"26","ZNF536","RYR2",1.96789356115372e-05,7.5226757511365,244,35,12,11,0.000159658195443154,"Co_Occurence","RYR2, ZNF536","12/46"
"27","SI","TTN",2.01807959040146e-05,6.43519399444567,225,52,15,10,0.000159658195443154,"Co_Occurence","SI, TTN","15/62"
"28","PRDM9","CTNND2",2.33035775190238e-05,9.75603328025252,262,17,9,14,0.000179811554930739,"Co_Occurence","CTNND2, PRDM9","9/31"
"29","SPTA1","RYR2",2.5269395653097e-05,6.51875490220852,241,34,13,14,0.000189362904788129,"Co_Occurence","RYR2, SPTA1","13/48"
"30","FLG","TP53",2.57533550511854e-05,4.78967069323518,185,80,25,12,0.000189362904788129,"Co_Occurence","FLG, TP53","25/92"
"31","CSMD1","KRAS",2.65459897190778e-05,8.44976200888349,256,23,10,13,0.000190703949131306,"Co_Occurence","CSMD1, KRAS","10/36"
"32","FLG","ZFHX4",2.78808829215987e-05,5.79161286691099,240,25,14,23,0.000195792717146059,"Co_Occurence","FLG, ZFHX4","14/48"
"33","SPTA1","PRDM9",3.33830027646321e-05,9.18603794476803,261,14,9,18,0.000229278865141705,"Co_Occurence","PRDM9, SPTA1","9/32"
"34","TTN","TP53",3.66253667051712e-05,3.27125060764406,168,67,38,29,0.00023846001232768,"Co_Occurence","TP53, TTN","38/96"
"35","CTNND2","XIRP2",3.73588601367835e-05,7.8994706184129,256,20,10,16,0.00023846001232768,"Co_Occurence","CTNND2, XIRP2","10/36"
"36","FAT3","XIRP2",3.73588601367835e-05,7.8994706184129,256,20,10,16,0.00023846001232768,"Co_Occurence","FAT3, XIRP2","10/36"
"37","TTN","RYR2",3.77720659527045e-05,4.08218602428947,210,25,22,45,0.00023846001232768,"Co_Occurence","RYR2, TTN","22/70"
"38","FAT3","TTN",3.94057609626387e-05,5.82736286460788,224,52,15,11,0.000239112627200478,"Co_Occurence","FAT3, TTN","15/63"
"39","MUC17","TTN",3.94057609626387e-05,5.82736286460788,224,52,15,11,0.000239112627200478,"Co_Occurence","MUC17, TTN","15/63"
"40","ZFHX4","CSMD3",4.03259523776907e-05,5.528334569637,239,24,14,25,0.000240035430819589,"Co_Occurence","CSMD3, ZFHX4","14/49"
"41","CTNND2","TP53",4.39662902364284e-05,5.95714607293813,190,86,19,7,0.000256812442969793,"Co_Occurence","CTNND2, TP53","19/93"
"42","FLG","FAT3",4.5087544697368e-05,6.97321397648392,250,15,11,26,0.000258529499411514,"Co_Occurence","FAT3, FLG","11/41"
"43","CSMD3","XIRP2",4.95026914010882e-05,6.24534764014809,246,18,12,26,0.00027373518008657,"Co_Occurence","CSMD3, XIRP2","12/44"
"44","SI","ZFHX4",5.05375662068229e-05,6.91170122286805,249,28,11,14,0.00027373518008657,"Co_Occurence","SI, ZFHX4","11/42"
"45","NEB","FLG",5.17611731293275e-05,7.71683412688309,253,27,10,12,0.00027373518008657,"Co_Occurence","FLG, NEB","10/39"
"46","SI","CTNND2",5.21191782884829e-05,8.48566516227599,260,17,9,16,0.00027373518008657,"Co_Occurence","CTNND2, SI","9/33"
"47","SI","MUC17",5.21191782884829e-05,8.48566516227599,260,17,9,16,0.00027373518008657,"Co_Occurence","MUC17, SI","9/33"
"48","XIRP2","SPTA1",5.54863556186504e-05,7.41057868102511,255,17,10,20,0.000286603076542617,"Co_Occurence","SPTA1, XIRP2","10/37"
"49","XIRP2","TP53",6.03185904741337e-05,5.19062185273485,188,84,21,9,0.000306496902815721,"Co_Occurence","TP53, XIRP2","21/93"
"50","PCLO","RYR2",6.72193439239144e-05,5.66153283915447,239,34,13,16,0.000336096719619573,"Co_Occurence","PCLO, RYR2","13/50"
"51","LRP1B","RYR2",6.95729909502544e-05,5.22676449853262,236,33,14,19,0.000342386766487473,"Co_Occurence","LRP1B, RYR2","14/52"
"52","TTN","SPTA1",7.32119797130694e-05,5.32053499718296,223,12,15,52,0.000353824937459934,"Co_Occurence","SPTA1, TTN","15/64"
"53","SI","SPTA1",7.41657280540569e-05,7.9887783680268,259,18,9,16,0.000353824937459934,"Co_Occurence","SI, SPTA1","9/34"
