"Characteristic","Subgroup","Mutated_Total","p_value"
"All cases","All","18/305 (5.9%)",""
"Sex","Male","16/156 (10.3%)","p = 0.001"
"","Female","2/149 (1.3%)",""
"Age (years)","< 65","5/160 (3.1%)","p = 0.049"
"",">= 65","13/145 (9%)",""
"AJCC Stage (Individual)","I","3/136 (2.2%)","p = 0.037"
"","II","6/57 (10.5%)",""
"","III","7/91 (7.7%)",""
"","IV","2/19 (10.5%)",""
"AJCC Stage (Grouped)","Stage I-II","9/193 (4.7%)","NS"
"","Stage III-IV","9/110 (8.2%)",""
"Smoking History","No","4/189 (2.1%)","p < 0.001"
"","Yes","14/112 (12.5%)",""
