"","gene1","gene2","pValue","oddsRatio","00","01","11","10","pAdj","Event","pair","event_ratio"
"1","MUC16","LRP1B",9.2781205019022e-18,4.98843484632912,271,63,121,104,2.14771307914405e-16,"Co_Occurence","LRP1B, MUC16","121/167"
"2","CSMD3","TTN",5.17215763289908e-17,4.59232029413264,244,103,140,72,1.11468914502136e-15,"Co_Occurence","CSMD3, TTN","140/175"
"3","USH2A","CSMD3",2.97775936161224e-16,4.85871004635336,287,105,107,60,6.00354710002469e-15,"Co_Occurence","CSMD3, USH2A","107/165"
"4","TTN","RYR2",3.73480681483382e-16,4.49122807909164,250,66,132,111,7.07349775536712e-15,"Co_Occurence","RYR2, TTN","132/177"
"5","TTN","USH2A",7.20500328991581e-16,4.7310798220945,265,51,116,127,1.28660773034211e-14,"Co_Occurence","TTN, USH2A","116/178"
"6","MUC16","TTN",1.14391549752085e-15,4.20806035491716,235,99,144,81,1.9322896917582e-14,"Co_Occurence","MUC16, TTN","144/180"
"7","MUC16","APOB",1.10286420055899e-14,6.15821678420409,309,25,75,150,1.7674105778189e-13,"Co_Occurence","APOB, MUC16","75/175"
"8","APOB","XIRP2",4.09942688570852e-13,5.53910498543462,379,80,54,46,6.24912635016545e-12,"Co_Occurence","APOB, XIRP2","54/126"
"9","XIRP2","ZFHX4",7.25375691442286e-13,4.47638980511379,329,96,76,58,1.0543251329103e-11,"Co_Occurence","XIRP2, ZFHX4","76/154"
"10","RYR2","ZFHX4",2.69708301469779e-12,3.79065027412642,287,74,98,100,3.74594863152472e-11,"Co_Occurence","RYR2, ZFHX4","98/174"
"11","RYR2","USH2A",3.13867904181862e-12,3.83385398326027,290,71,96,102,4.07571073674562e-11,"Co_Occurence","RYR2, USH2A","96/173"
"12","LRP1B","RYR2",3.19535721760855e-12,3.73802329275598,280,95,103,81,4.07571073674562e-11,"Co_Occurence","LRP1B, RYR2","103/176"
"13","XIRP2","FLG",4.01243427519679e-12,4.58560249729016,358,67,62,72,4.91719886666277e-11,"Co_Occurence","FLG, XIRP2","62/139"
"14","XIRP2","TTN",4.74176034028263e-12,4.14723207143084,275,150,93,41,5.59169851448423e-11,"Co_Occurence","TTN, XIRP2","93/191"
"15","APOB","USH2A",5.22012641293958e-12,4.91754038720589,352,107,60,40,5.93196183288592e-11,"Co_Occurence","APOB, USH2A","60/147"
"16","ZFHX4","MUC16",1.01096048557317e-11,3.6078358842228,268,119,106,66,1.10850930435655e-10,"Co_Occurence","MUC16, ZFHX4","106/185"
"17","FLG","ZFHX4",1.10761458005029e-11,4.15593799182032,330,100,72,57,1.1733205297143e-10,"Co_Occurence","FLG, ZFHX4","72/157"
"18","TP53","CSMD3",1.29251612813907e-11,3.39947765209313,214,68,144,133,1.32429931161791e-10,"Co_Occurence","CSMD3, TP53","144/201"
"19","APOB","TTN",1.45012478454391e-11,4.86956565029687,290,169,74,26,1.43861585768245e-10,"Co_Occurence","APOB, TTN","74/195"
"20","LRP1B","TTN",2.25890153221237e-11,3.44274654265917,249,126,117,67,2.17202070405038e-10,"Co_Occurence","LRP1B, TTN","117/193"
"21","ZFHX4","TTN",3.16852632384813e-11,3.50680204322711,255,132,111,61,2.95571485433594e-10,"Co_Occurence","TTN, ZFHX4","111/193"
"22","FLG","USH2A",3.26952088019653e-11,4.06100246956023,333,97,70,59,2.9615225364099e-10,"Co_Occurence","FLG, USH2A","70/156"
"23","TP53","TTN",4.15332116226473e-11,3.16922279346421,198,84,159,118,3.65609257241618e-10,"Co_Occurence","TP53, TTN","159/202"
"24","ZNF536","MUC16",5.68283274193304e-11,4.25941510452169,299,150,75,35,4.86543899138103e-10,"Co_Occurence","MUC16, ZNF536","75/185"
"25","USH2A","ZFHX4",7.23543443081739e-11,3.6244858778303,305,87,85,82,6.02952869234788e-10,"Co_Occurence","USH2A, ZFHX4","85/169"
"26","PCDH15","COL11A1",8.53698906369385e-11,4.87976318469077,391,68,46,54,6.92937424001124e-10,"Co_Occurence","COL11A1, PCDH15","46/122"
"27","ZNF536","TTN",1.10421160674943e-10,4.18425471800828,284,165,78,32,8.73585131922018e-10,"Co_Occurence","TTN, ZNF536","78/197"
"28","USH2A","XIRP2",1.35692311380873e-10,3.8513823132683,329,63,71,96,1.0470085754697e-09,"Co_Occurence","USH2A, XIRP2","71/159"
"29","TTN","PCLO",1.49464765084918e-10,4.32159096146954,287,29,74,169,1.12548768889246e-09,"Co_Occurence","PCLO, TTN","74/198"
"30","PCDH15","XIRP2",2.71490552961836e-10,4.44921783194696,375,84,50,50,1.99625406589585e-09,"Co_Occurence","PCDH15, XIRP2","50/134"
"31","COL11A1","CSMD3",3.04970635204389e-10,3.90905347476742,306,139,73,41,2.19088100003153e-09,"Co_Occurence","COL11A1, CSMD3","73/180"
"32","RYR2","MUC16",3.43540959918098e-10,3.15452643308204,251,110,115,83,2.4125067409979e-09,"Co_Occurence","MUC16, RYR2","115/193"
"33","APOB","ZFHX4",3.91132510034894e-10,4.16671392058056,345,114,58,42,2.6445152878682e-09,"Co_Occurence","APOB, ZFHX4","58/156"
"34","CSMD3","RYR2",3.93503874834785e-10,3.16684106243624,259,88,110,102,2.6445152878682e-09,"Co_Occurence","CSMD3, RYR2","110/190"
"35","ANK2","RYR2",4.47916850467878e-10,4.00116893029699,321,132,66,40,2.90453187214619e-09,"Co_Occurence","ANK2, RYR2","66/172"
"36","ANK2","LRP1B",4.50783346557088e-10,4.00811718897367,332,121,63,43,2.90453187214619e-09,"Co_Occurence","ANK2, LRP1B","63/164"
"37","SPTA1","USH2A",4.85358091644556e-10,3.75265792919567,334,101,66,58,3.06412936644292e-09,"Co_Occurence","SPTA1, USH2A","66/159"
"38","APOB","NAV3",7.703713388093e-10,4.53076585111342,389,70,45,55,4.76714937381995e-09,"Co_Occurence","APOB, NAV3","45/125"
"39","SPTA1","TTN",8.08647128611172e-10,3.63615391879588,276,159,84,40,4.90683937264061e-09,"Co_Occurence","SPTA1, TTN","84/199"
"40","MUC16","USH2A",1.11555672450256e-09,3.18093603714061,267,67,100,125,6.61027024438311e-09,"Co_Occurence","MUC16, USH2A","100/192"
"41","CSMD3","MUC16",1.13167826583838e-09,2.99987581544,242,105,120,92,6.61027024438311e-09,"Co_Occurence","CSMD3, MUC16","120/197"
"42","ZFHX4","ADAMTS12",1.20362044241485e-09,4.06231987642067,346,41,56,116,6.90149336247053e-09,"Co_Occurence","ADAMTS12, ZFHX4","56/157"
"43","USH2A","PCDH15",1.49022050123461e-09,3.97858065873063,348,44,56,111,8.39088120064538e-09,"Co_Occurence","PCDH15, USH2A","56/155"
"44","USH2A","MUC17",1.57339446654819e-09,4.08005618786874,350,42,55,112,8.70240302294355e-09,"Co_Occurence","MUC17, USH2A","55/154"
"45","TNR","MUC16",1.972525138027e-09,4.10553316844932,304,160,65,30,1.07202453153642e-08,"Co_Occurence","MUC16, TNR","65/190"
"46","XIRP2","RYR2",2.16843381676063e-09,3.38565282215149,304,121,77,57,1.15835139784222e-08,"Co_Occurence","RYR2, XIRP2","77/178"
"47","TNR","USH2A",2.52309956331909e-09,4.07895430305491,351,113,54,41,1.32515733367599e-08,"Co_Occurence","TNR, USH2A","54/154"
